Title,Current Price,Old Price,Diff,url
"Monitor Curvo AOC G1 CQ32G1 VA 31.5"" QHD 16:9 144Hz FreeSync","269,90","379,90","
        -110     ",https://www.pcdiga.com//monitor-curvo-aoc-g1-cg32g1-va-31-5-qhd-16-9-144hz-freesync
"Monitor Curvo Samsung CRG50 QLED VA 27"" FHD 16:9 240Hz FreeSync / G-SYNC Compatible","269,90","299,90","
        -30     ",https://www.pcdiga.com/monitor-curvo-samsung-crg5-qled-va-27-fhd-16-9-240hz-freesync
"Monitor Asus VG278Q TN 27"" FHD 16:9 144Hz FreeSync / G-SYNC Compatible","269,90","309,90","
        -40     ",https://www.pcdiga.com/monitor-asus-vg278q-tn-27-fhd-16-9-144hz-freesync
"Monitor Curvo MSI Optix MAG272C VA 27"" FHD 16:9 165Hz FreeSync","289,90","299,90","
        -10     ",https://www.pcdiga.com/monitor-curvo-msi-optix-mag272c-va-27-fhd-16-9-165hz-freesync
"Monitor AOC Q34E2A IPS 34"" UW-UXGA 21:9 75Hz FreeSync","299,90",,,https://www.pcdiga.com/monitor-aoc-q34e2a-ips-34-uw-uxga-21-9-75hz-freesync
"Monitor Curvo MSI Optix MAG322CR VA 31.5"" FHD 180Hz FreeSync","299,90","399,90","
        -100     ",https://www.pcdiga.com/monitor-curvo-msi-optix-mag322cr-va-31-5-fhd-180hz-freesync
"Monitor Curvo Lenovo G27c-10 VA 27"" FHD 16:9 165Hz FreeSync","299,90",,,https://www.pcdiga.com/monitor-curvo-lenovo-g27c-10-va-27-fhd-16-9-165hz-freesync
"Monitor Curvo AOC C27G2ZU VA 27"" FHD 16:9 240Hz FreeSync / G-SYNC Compatible","299,90","324,90","
        -25     ",https://www.pcdiga.com/monitor-curvo-aoc-c27g2zu-va-27-fhd-16-9-240hz-freesync-g-sync-compatible
"Monitor Asus ROG SWIFT PG248Q TN 24"" FHD 16:9 180Hz G-SYNC","299,90","519,90","
        -220     ",https://www.pcdiga.com/monitor-asus-led-24-rog-swift-g-sync-pg248q
"Monitor AOC Q27G2U VA 27"" QHD 16:9 144Hz FreeSync","309,90","349,90","
        -40     ",https://www.pcdiga.com/monitor-aoc-q27g2u-va-27-qhd-16-9-144hz-freesync
